Average Rating,Director,Writer,Country of Origin,Languages,Runtime,Release Year
9.3,711,3851,678,87,2.0,1994.0
9.3,2620,2884,384,801,2.0,2024.0
9.2,703,2592,678,317,2.0,1978.0
9.2,661,4123,568,1064,1.0,1975.0
9.2,1962,3286,303,87,2.0,2001.0
9.1,199,3919,297,720,56.0,2021.0
9.1,1256,3193,297,1058,3.0,1957.0
9.0,433,2098,775,376,2.0,2008.0
9.0,2321,4027,678,271,3.0,1993.0
9.0,2263,3307,678,87,1.0,1957.0
9.0,703,1220,678,332,3.0,1979.0
9.0,1868,1689,427,420,3.0,2004.0
9.0,2171,3811,297,859,2.0,1991.0
9.0,2372,3969,20,16,1.0,2016.0
8.9,1868,1689,428,463,2.0,2002.0
8.9,1918,3221,678,478,2.0,1994.0
8.9,2549,2838,41,937,2.0,2024.0
8.9,672,4313,678,87,7.0,2016.0
8.9,1681,1474,402,2,3.0,1976.0
8.9,1273,4359,568,1064,1.0,2018.0
8.9,134,3926,20,16,2.0,2024.0
8.9,661,3566,568,1064,1.0,1975.0
8.9,2255,8,297,859,2.0,1989.0
8.8,433,733,775,338,2.0,2010.0
8.8,523,740,262,87,2.0,1999.0
8.8,2070,4324,678,87,2.0,2014.0
8.8,2504,4163,297,717,2.0,2023.0
8.8,2213,2469,375,758,2.0,1969.0
8.8,1868,1689,427,464,2.0,2003.0
8.8,1729,3360,586,87,2.0,2011.0
8.8,874,2311,384,801,1.0,2021.0
8.8,1730,113,586,87,2.0,2010.0
8.8,1553,4402,384,821,3.0,1961.0
8.8,2088,3478,297,859,2.0,2021.0
8.8,607,1013,810,992,1.0,1987.0
8.8,2273,1013,810,981,1.0,1982.0
8.8,1458,2509,297,1048,2.0,2022.0
8.8,1469,38,297,889,2.0,2016.0
8.8,661,1618,568,1064,1.0,1976.0
8.8,2493,4150,297,1057,2.0,2018.0
8.8,1580,342,20,16,2.0,2009.0
8.8,2171,3812,297,859,2.0,1987.0
8.8,178,290,297,16,2.0,2022.0
8.8,2508,4103,297,1057,3.0,2001.0
8.7,433,2096,776,87,2.0,2014.0
8.7,1544,2915,678,312,2.0,2019.0
8.7,1365,2425,679,87,2.0,1999.0
8.7,1658,2368,678,87,2.0,1977.0
8.7,940,2389,678,87,2.0,1980.0
8.7,2347,3936,312,1048,2.0,2021.0
8.7,1918,3222,678,344,4.0,2006.0
8.7,1186,2087,678,150,1.0,1984.0
8.7,180,291,297,1057,2.0,2024.0
8.7,571,3278,297,1057,1.0,2024.0
8.7,2328,3893,297,1048,2.0,2020.0
8.7,443,3781,145,675,9.0,1985.0
8.7,1333,2292,297,825,2.0,2022.0
8.7,600,4408,479,990,2.0,2021.0
8.7,1482,391,297,1048,2.0,1987.0
8.7,1461,2515,297,734,2.0,2022.0
8.7,1398,2396,297,915,2.0,2022.0
8.7,682,2516,297,859,2.0,1993.0
8.7,1958,3276,297,1048,2.0,2019.0
8.7,661,3565,568,1064,1.0,1977.0
8.7,2273,1013,810,992,1.0,1980.0
8.7,1509,2585,297,1048,2.0,2018.0
8.7,280,2198,297,1048,2.0,1992.0
8.7,874,2311,384,801,2.0,2020.0
8.7,922,3291,297,859,3.0,1993.0
8.7,226,3016,568,1064,1.0,1978.0
8.7,1721,4359,568,1064,1.0,2021.0
8.7,1780,3565,568,1064,1.0,1978.0
8.7,661,3566,568,1064,1.0,1976.0
8.7,2346,2513,297,859,2.0,1989.0
8.6,523,264,678,87,2.0,1995.0
8.6,1186,4024,678,363,1.0,1991.0
8.6,710,1212,678,150,2.0,1947.0
8.6,1107,3157,678,87,2.0,2023.0
8.6,2321,3435,678,163,2.0,1999.0
8.6,711,3851,678,150,3.0,2000.0
8.6,694,559,41,937,2.0,2007.0
8.6,983,1734,714,472,2.0,1991.0
8.6,770,1334,678,87,2.0,1978.0
8.6,876,1535,396,801,2.0,2020.0
8.6,2071,4188,354,778,1.0,2000.0
8.6,50,104,384,801,3.0,1954.0
8.6,1553,4353,384,801,2.0,1962.0
8.6,2533,4200,297,717,2.0,2022.0
8.6,2232,3729,678,87,1.0,2005.0
8.6,827,1426,38,941,1.0,2000.0
8.6,1038,1810,297,825,2.0,2023.0
8.6,281,462,445,947,2.0,2024.0
8.6,2283,4137,131,21,1.0,1997.0
8.6,2333,2201,297,1048,2.0,2003.0
8.6,2628,4398,131,981,1.0,1998.0
8.6,33,880,35,87,1.0,1972.0
8.6,1791,3019,297,859,2.0,1987.0
8.6,278,3235,297,859,2.0,1995.0
8.6,2592,2483,145,155,4.0,2015.0
8.6,661,3565,568,1064,1.0,1973.0
8.6,1917,3216,284,739,1.0,1979.0
8.6,661,3566,568,1064,1.0,1978.0
8.6,1913,3214,297,859,2.0,1988.0
8.6,2515,4179,297,1048,2.0,1996.0
8.5,2026,879,791,87,2.0,2000.0
8.5,555,948,698,87,2.0,2024.0
8.5,2026,822,658,87,1.0,1979.0
8.5,1951,3269,297,1048,2.0,2024.0
8.5,1918,3218,678,223,2.0,2013.0
8.5,305,508,490,831,2.0,2020.0
8.5,484,812,678,87,1.0,2015.0
8.5,1544,4285,726,120,2.0,2007.0
8.5,1438,2460,225,299,1.0,1996.0
8.5,433,2097,658,87,2.0,2006.0
8.5,2070,3446,678,87,1.0,1986.0
8.5,107,2122,678,87,1.0,2020.0
8.5,2080,1646,678,514,1.0,1994.0
8.5,2458,901,678,87,1.0,1999.0
8.5,336,730,717,283,1.0,1996.0
8.5,2095,3499,205,249,2.0,2019.0
8.5,1775,3005,145,566,1.0,2012.0
8.5,1747,2961,297,1048,2.0,2024.0
8.5,945,109,396,801,1.0,1988.0
8.5,1601,2167,678,168,1.0,1943.0
8.5,2213,3695,381,771,2.0,1969.0
8.5,800,1386,360,755,2.0,1988.0
8.5,107,2031,678,87,1.0,1954.0
8.5,380,630,678,87,1.0,1936.0
8.5,1356,2327,678,87,1.0,2015.0
8.5,380,631,678,897,1.0,1931.0
8.5,225,2554,611,415,1.0,2011.0
8.5,1682,2831,584,978,1.0,2023.0
8.5,2098,3487,678,1077,1.0,1993.0
8.5,866,1504,297,1057,2.0,2022.0
8.5,901,2335,384,801,2.0,1964.0
8.5,348,668,297,1048,2.0,2018.0
8.5,1504,3614,354,770,6.0,2003.0
8.5,2633,4407,284,739,1.0,1976.0
8.5,875,1532,320,916,1.0,2024.0
8.5,970,2138,184,554,2.0,1960.0
8.5,1553,4403,384,820,3.0,1959.0
8.5,1462,3923,297,859,2.0,2019.0
8.5,2543,4218,654,4,1.0,2019.0
8.5,812,1403,297,1057,2.0,2019.0
8.5,1795,3958,297,1048,2.0,2021.0
8.5,1553,4403,384,821,3.0,1959.0
8.5,2269,2200,297,1048,2.0,1990.0
8.5,2403,4011,297,1048,2.0,2011.0
8.5,111,203,320,916,1.0,1990.0
8.5,913,3573,297,717,2.0,1979.0
8.5,807,1396,810,53,1.0,1984.0
8.5,2592,1660,145,581,1.0,2009.0
8.5,1273,380,568,1064,1.0,1980.0
8.5,1482,2547,305,1048,2.0,1991.0
8.5,2630,4122,568,1064,1.0,1977.0
8.5,226,205,568,1064,1.0,1978.0
8.5,985,3786,297,727,2.0,2017.0
8.5,2190,3665,586,150,2.0,2015.0
8.5,998,3362,678,87,1.0,2005.0
8.5,1339,2841,297,1052,1.0,2021.0
8.5,1811,4093,490,831,2.0,2022.0
8.4,1918,3218,717,223,2.0,2009.0
8.4,2431,4057,688,213,2.0,2019.0
8.4,433,2098,775,102,2.0,2012.0
8.4,194,729,678,354,3.0,2019.0
8.4,2296,3855,658,87,2.0,2017.0
8.4,983,1729,658,472,2.0,1987.0
8.4,703,2035,678,210,2.0,1979.0
8.4,433,734,678,87,1.0,2000.0
8.4,2321,2371,678,253,1.0,1981.0
8.4,194,729,764,87,2.0,2018.0
8.4,348,574,297,1048,2.0,2024.0
8.4,1393,2387,751,472,1.0,2017.0
8.4,302,3158,61,472,1.0,2018.0
8.4,698,1205,240,645,2.0,2006.0
8.4,159,272,739,87,1.0,2008.0
8.4,1658,3143,714,318,2.0,1984.0
8.4,1475,2531,384,801,1.0,2016.0
8.4,290,621,678,87,1.0,1950.0
8.4,1691,2846,401,3,2.0,2019.0
8.4,2578,4332,801,645,2.0,1981.0
8.4,1332,487,297,717,2.0,2024.0
8.4,1950,36,297,720,2.0,2009.0
8.4,2296,3825,678,245,1.0,1957.0
8.4,290,72,678,213,1.0,1958.0
8.4,380,630,678,146,2.0,1941.0
8.4,50,1571,384,801,2.0,1963.0
8.4,2098,3486,733,1077,1.0,2012.0
8.4,1227,4316,187,580,1.0,2014.0
8.4,1433,2615,744,336,1.0,2009.0
8.4,1430,2438,297,1048,2.0,2019.0
8.4,949,2302,431,906,1.0,1975.0
8.4,2496,1304,297,1048,2.0,2018.0
8.4,1303,2994,384,801,2.0,1954.0
8.4,2496,2512,297,1048,2.0,2019.0
8.4,1060,1836,297,859,2.0,2021.0
8.4,1259,3155,320,916,1.0,2004.0
8.4,1555,1482,384,801,2.0,2020.0
8.4,1928,2809,479,981,1.0,2004.0
8.4,1692,2848,458,949,1.0,2002.0
8.4,202,329,297,720,2.0,2007.0
8.4,1669,2815,297,1048,2.0,2015.0
8.4,2176,460,297,16,1.0,1959.0
8.4,547,228,292,284,1.0,2007.0
8.4,1693,2849,297,1058,2.0,2018.0
8.4,606,1013,480,981,1.0,2003.0
8.4,2496,615,297,1048,1.0,2016.0
8.4,2376,3973,678,87,1.0,2020.0
8.4,2600,4359,568,1064,1.0,1987.0
8.4,577,977,297,889,2.0,2022.0
8.4,2126,3551,297,1048,2.0,1999.0
8.4,1404,2404,498,958,1.0,1965.0
8.4,1258,1466,297,1048,2.0,2021.0
8.4,661,3565,568,1064,1.0,1977.0
8.4,2216,4048,462,953,3.0,1973.0
8.4,1060,1808,297,1048,2.0,2015.0
8.4,1251,390,297,1048,2.0,2006.0
8.4,1464,2517,297,1048,2.0,2021.0
8.4,2630,4122,568,1064,1.0,1977.0
8.4,1954,3272,297,825,2.0,2014.0
8.4,1482,2544,297,1048,2.0,1997.0
8.4,1482,3897,297,1048,2.0,2002.0
8.4,644,3565,568,1064,1.0,1975.0
8.3,419,702,739,87,1.0,2024.0
8.3,433,735,775,237,3.0,2023.0
8.3,834,2658,678,87,2.0,1998.0
8.3,1629,664,678,87,1.0,2019.0
8.3,511,1611,678,87,1.0,2017.0
8.3,2147,117,678,87,2.0,2020.0
8.3,1612,2736,678,472,2.0,1995.0
8.3,266,1889,431,910,1.0,2024.0
8.3,1808,1287,490,827,1.0,2017.0
8.3,1586,3284,678,189,2.0,1995.0
8.3,319,3001,678,472,2.0,1990.0
8.3,2408,4035,113,59,1.0,2012.0
8.3,2296,3824,658,430,2.0,2017.0
8.3,2213,1522,381,305,3.0,1984.0
8.3,1918,3221,678,87,1.0,1992.0
8.3,1151,2012,678,87,1.0,1995.0
8.3,555,4220,53,558,2.0,2020.0
8.3,2407,2428,678,150,2.0,2020.0
8.3,627,170,498,15,2.0,1985.0
8.3,2296,3829,658,427,1.0,1964.0
8.3,1057,1429,167,630,2.0,2001.0
8.3,528,3388,658,112,3.0,2016.0
8.3,1848,3116,678,87,1.0,2009.0
8.3,2016,2370,678,355,2.0,1983.0
8.3,876,1535,384,801,2.0,2020.0
8.3,290,485,678,87,1.0,1944.0
8.3,107,1140,678,150,2.0,1959.0
8.3,1392,2010,678,472,1.0,2010.0
8.3,731,4003,232,651,2.0,1927.0
8.3,1783,1561,678,295,1.0,2020.0
8.3,107,149,678,87,2.0,2014.0
8.3,2057,1520,678,87,2.0,1963.0
8.3,290,481,678,87,2.0,1960.0
8.3,2294,452,678,87,1.0,1952.0
8.3,777,912,678,87,2.0,1973.0
8.3,219,358,323,916,2.0,2012.0
8.3,1746,3197,312,720,2.0,2016.0
8.3,731,4004,232,645,1.0,1931.0
8.3,50,104,384,819,2.0,1952.0
8.3,2295,23,678,213,2.0,1961.0
8.3,2,235,297,720,2.0,2007.0
8.3,2210,3688,498,969,6.0,1966.0
8.3,2532,608,354,777,1.0,1948.0
8.3,2530,3610,297,717,2.0,2021.0
8.3,1430,2439,297,1048,2.0,2022.0
8.3,2246,3759,297,717,2.0,2021.0
8.3,609,1020,498,1077,1.0,1929.0
8.3,1746,3196,297,717,2.0,2019.0
8.3,2350,2205,394,801,2.0,2021.0
8.3,1098,393,658,1060,1.0,2021.0
8.3,1960,3277,297,1048,2.0,2018.0
8.3,1683,3728,297,717,1.0,2020.0
8.3,2496,1809,297,1048,2.0,2023.0
8.3,2605,4373,274,868,2.0,1994.0
8.3,50,2651,384,801,3.0,1970.0
8.3,1060,1836,297,859,2.0,2013.0
8.3,1498,1711,145,554,3.0,1946.0
8.3,936,1636,525,1026,2.0,1974.0
8.3,2314,4276,678,87,2.0,1994.0
8.3,1651,4180,498,958,1.0,1957.0
